search_term,uniprot_accession,gene_name,description,ec_number,synonyms,location,keywords,go_terms,family,zinc_link,cansar_link,nearest_drug_target,matching_drug_target_50,matching_drug_target_35,number_of_3d_structure,number_of_3d_structure_with_small_molecule_ligand,number_of_3d_structure_with_druggability,number_of_3d_structure_druggable,percentage_of_3d_structure_druggable,number_of_3d_structure_tractable,percentage_of_3d_structure_tractable,ligand_druggability_score,ligand_druggability_percentile_rank,matching_protein_variants,screened_compounds,screened_compounds_active,screened_compounds_active_ro5,screened_fragments,screened_fragments_active,screened_fragments_active_ro5,most_prevalent_mutation,most_prevalent_cnv,highest_expressing_celllines
,P53567,CEBPG,"CCAAT/enhancer-binding protein gamma",,"CEBPG_HUMAN, CEBPG",Nucleus,"P53567 CEBPG_HUMAN CCAAT/enhancer-binding protein gamma P53567,B2R946,Q5U052  ","nuclear chromatin, nucleoplasm, nucleus","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CEBPG_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P53567/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P16220,CREB1,"Cyclic AMP-responsive element-binding protein 1",,"CREB1_HUMAN, CREB1",Nucleus,"P16220 CREB1_HUMAN Cyclic AMP-responsive element-binding protein 1 P16220,P21934,Q6V963,Q9UMA7  ","atf4-creb1 transcription factor complex, axon, mitochondrial matrix, nuclear chromatin, nuclear euchromatin, nucleoplasm, nucleus, transcription regulator complex","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CREB1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P16220/,,,,3,0,3,0,0,0,0,-3,59,1,10,0,0,3,0,0,,,
,O43889,CREB3,"Cyclic AMP-responsive element-binding protein 3",,"CREB3_HUMAN, CREB3, LZIP","Endoplasmic reticulum membrane, Golgi apparatus, Nucleus, Cytoplasm, Nucleus, Cytoplasm","O43889 CREB3_HUMAN Cyclic AMP-responsive element-binding protein 3 O43889,D0PTW6,O14671,O14919,Q5TCV1,Q96GK8,Q9H2W3,Q9UE77 Leucine zipper protein, Luman, Transcription factor LZIP-alpha LZIP","cytoplasm, cytosol, endoplasmic reticulum, endoplasmic reticulum membrane, golgi apparatus, golgi membrane, integral component of endoplasmic reticulum membrane, integral component of membrane, membrane, neuronal cell body, nuclear body, nuclear chromatin, nucleoplasm, nucleus","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CREB3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O43889/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q8TEY5,CREB3L4,"Cyclic AMP-responsive element-binding protein 3-like protein 4",,"CR3L4_HUMAN, CREB3L4, AIBZIP, CREB4, JAL","Endoplasmic reticulum membrane, Golgi apparatus membrane, Nucleus","Q8TEY5 CR3L4_HUMAN Cyclic AMP-responsive element-binding protein 3-like protein 4 Q8TEY5,D3DV62,Q5T4L0,Q86YW6 Androgen-induced basic leucine zipper protein, Attaching to CRE-like 1, Cyclic AMP-responsive element-binding protein 4, Transcript induced in spermiogenesis protein 40, hJAL AIBZIP, CREB4, JAL","endoplasmic reticulum, endoplasmic reticulum membrane, golgi apparatus, golgi membrane, integral component of membrane, mitochondrion, nuclear chromatin, nuclear membrane, nucleoplasm","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CR3L4_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q8TEY5/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q02930,CREB5,"Cyclic AMP-responsive element-binding protein 5",,"CREB5_HUMAN, CREB5, CREBPA",Nucleus,"Q02930 CREB5_HUMAN Cyclic AMP-responsive element-binding protein 5 Q02930,A8KA51,B4DU13,B5BUH3,C9JK47,Q05886,Q06246,Q75N02,Q86UJ9 cAMP-response element-binding protein A CREBPA","extracellular exosome, nuclear chromatin, nucleus","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CREB5_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q02930/,,,,0,0,0,0,0,0,0,1.1,91,,,,,,,,,,
,P49711,CTCF,"Transcriptional repressor CTCF",,"CTCF_HUMAN, CTCF","Nucleus, Nucleoplasm, Chromosome, Chromosome, Centromere","P49711 CTCF_HUMAN Transcriptional repressor CTCF P49711,B5MC38,Q53XI7,Q59EL8 11-zinc finger protein, CCCTC-binding factor, CTCFL paralog ","chromosome, condensed chromosome, nuclear chromatin, nucleolus, nucleoplasm, nucleus","CTCF zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=CTCF_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P49711/,,,,15,0,14,0,0,6,43,-3,59,,,,,,,,,,
,P0DPQ6,DDIT3,"DDIT3 upstream open reading frame protein",,"DT3UO_HUMAN, DDIT3","Nucleus, Cytoplasm","P0DPQ6 DT3UO_HUMAN DDIT3 upstream open reading frame protein P0DPQ6 Alternative DDIT3 protein ","late endosome, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=DT3UO_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P0DPQ6/,,,,0,0,0,0,0,0,0,,,,,,,,,,,,
,P35638,DDIT3,"DNA damage-inducible transcript 3 protein",,"DDIT3_HUMAN, DDIT3, CHOP, CHOP10, GADD153","Cytoplasm, Nucleus","P35638 DDIT3_HUMAN DNA damage-inducible transcript 3 protein P35638,F8VS99 C/EBP zeta, C/EBP-homologous protein, C/EBP-homologous protein 10, CCAAT/enhancer-binding protein homologous protein, Growth arrest and DNA damage-inducible protein GADD153 CHOP, CHOP10, GADD153","chop-atf3 complex, chop-atf4 complex, chop-c/ebp complex, cytoplasm, cytosol, late endosome, nuclear chromatin, nucleoplasm, nucleus, protein-dna complex, transcription regulator complex","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=DDIT3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P35638/,,,,0,0,0,0,0,0,0,-3,59,1,25,0,0,8,0,0,,,
,O75461,E2F6,"Transcription factor E2F6",,"E2F6_HUMAN, E2F6",Nucleus,"O75461 E2F6_HUMAN Transcription factor E2F6 O75461,A8K2Z8,G5E936,O60544,Q53QY9,Q6Q9Z6,Q7Z2H6  ","mll1 complex, nuclear chromatin, nucleoplasm, nucleus, rna polymerase ii transcription regulator complex","E2F/DP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=E2F6_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/O75461/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P18146,EGR1,"Early growth response protein 1",,"EGR1_HUMAN, EGR1, KROX24, ZNF225","Nucleus, Cytoplasm","P18146 EGR1_HUMAN Early growth response protein 1 P18146 AT225, Nerve growth factor-induced protein A, Transcription factor ETR103, Transcription factor Zif268, Zinc finger protein 225, Zinc finger protein Krox-24 KROX24, ZNF225","cytoplasm, nuclear chromatin, nucleoplasm, nucleus","EGR C2H2-type zinc-finger protein family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=EGR1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P18146/,,,,9,1,8,0,0,3,38,-3,59,1,1,0,0,1,0,0,,,
,P32519,ELF1,"ETS-related transcription factor Elf-1",,"ELF1_HUMAN, ELF1",Nucleus,"P32519 ELF1_HUMAN ETS-related transcription factor Elf-1 P32519,B4E2I5,E9PDQ9,Q8N6F6,Q9UDE1 E74-like factor 1 ","nuclear chromatin, nucleoplasm, nucleus","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ELF1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P32519/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q15723,ELF2,"ETS-related transcription factor Elf-2",,"ELF2_HUMAN, ELF2, NERF",Nucleus,"Q15723 ELF2_HUMAN ETS-related transcription factor Elf-2 Q15723,E9PCX3,Q15724,Q15725,Q6P1K5 E74-like factor 2, New ETS-related factor NERF","cytosol, nuclear body, nuclear chromatin, nucleoplasm, nucleus","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ELF2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q15723/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P78545,ELF3,"ETS-related transcription factor Elf-3",,"ELF3_HUMAN, ELF3, ERT, ESX, JEN","Cytoplasm, Nucleus","P78545 ELF3_HUMAN ETS-related transcription factor Elf-3 P78545,B2R5Q6,Q6IAP8,Q7RU03,Q7Z3X2,Q8NFG2,Q99718 E74-like factor 3, Epithelial-restricted with serine box, Epithelium-restricted Ets protein ESX, Epithelium-specific Ets transcription factor 1 ERT, ESX, JEN","cytosol, golgi apparatus, nuclear chromatin, nucleoplasm, nucleus","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ELF3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P78545/,,,,1,0,1,0,0,1,100,-3,59,1,8,0,0,3,0,0,,,
,Q99607,ELF4,"ETS-related transcription factor Elf-4",,"ELF4_HUMAN, ELF4, ELFR, MEF","Nucleus, PML body","Q99607 ELF4_HUMAN ETS-related transcription factor Elf-4 Q99607,D3DTG1,O60435 E74-like factor 4, Myeloid Elf-1-like factor ELFR, MEF","nuclear body, nuclear chromatin, nucleoplasm, nucleus, pml body","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ELF4_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q99607/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P19419,ELK1,"ETS domain-containing protein Elk-1",,"ELK1_HUMAN, ELK1",Nucleus,"P19419 ELK1_HUMAN ETS domain-containing protein Elk-1 P19419,B2R7H4,O75606,O95058,Q969X8,Q9UJM4  ","axon terminus, dendrite, mitochondrion, neuronal cell body, nuclear chromatin, nucleoplasm, nucleus","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ELK1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P19419/,,,,2,1,1,0,0,1,100,-3,59,1,10,0,0,7,0,0,,,
,P41970,ELK3,"ETS domain-containing protein Elk-3",,"ELK3_HUMAN, ELK3, NET, SAP2",Nucleus,"P41970 ELK3_HUMAN ETS domain-containing protein Elk-3 P41970,B2R6S6,Q6FG57,Q6GU29,Q9UD17 ETS-related protein ERP, ETS-related protein NET, Serum response factor accessory protein 2 NET, SAP2","mitochondrion, nuclear chromatin, nucleoplasm, nucleus","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ELK3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P41970/,,,,0,0,0,0,0,0,0,-1.1,67,,,,,,,,,,
,P28324,ELK4,"ETS domain-containing protein Elk-4",,"ELK4_HUMAN, ELK4, SAP1",Nucleus,"P28324 ELK4_HUMAN ETS domain-containing protein Elk-4 P28324,P28323,Q6GSJ2 Serum response factor accessory protein 1 SAP1","cytosol, nuclear chromatin, nucleoplasm, nucleus","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ELK4_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P28324/,,,,4,0,4,0,0,1,25,-1.1,67,,,,,,,,,,
,P50548,ERF,"ETS domain-containing transcription factor ERF",,"ERF_HUMAN, ERF",Nucleus,"P50548 ERF_HUMAN ETS domain-containing transcription factor ERF P50548,B2RAP1,B7Z4R0,Q59G38,Q9UPI7 Ets2 repressor factor, PE-2 ","cytosol, nuclear chromatin, nucleoplasm, nucleus","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ERF_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P50548/,,,,2,0,2,0,0,0,0,-1.1,67,,,,,,,,,,
,P14921,ETS1,"Protein C-ets-1",,"ETS1_HUMAN, ETS1, EWSR2","Cytoplasm, Nucleus","P14921 ETS1_HUMAN Protein C-ets-1 P14921,A9UL17,F5GYX9,Q14278,Q16080,Q6N087,Q96AC5 p54 EWSR2","cytoplasm, nuclear chromatin, nucleoplasm, nucleus, transcription regulator complex","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ETS1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P14921/,,,,27,0,27,2,8,16,60,-1.1,67,,,,,,,,,,
,P15036,ETS2,"Protein C-ets-2",,"ETS2_HUMAN, ETS2",Nucleus,"P15036 ETS2_HUMAN Protein C-ets-2 P15036,A6NM68,D3DSH6,Q53Y89  ","cytosol, nuclear chromatin, nucleoplasm, nucleus, plasma membrane","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ETS2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P15036/,,,,2,0,2,0,0,2,100,-1.1,67,,,,,,,,,,
,P41162,ETV3,"ETS translocation variant 3",,"ETV3_HUMAN, ETV3, METS, PE1",Nucleus,"P41162 ETV3_HUMAN ETS translocation variant 3 P41162,B4E3M7,Q8TAC8,Q9BX30 ETS domain transcriptional repressor PE1, Mitogenic Ets transcriptional suppressor METS, PE1","nuclear chromatin, nucleus, rna polymerase ii transcription repressor complex","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ETV3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P41162/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P43268,ETV4,"ETS translocation variant 4",,"ETV4_HUMAN, ETV4, E1AF, PEA3",Nucleus,"P43268 ETV4_HUMAN ETS translocation variant 4 P43268,A8K314,B7Z5J3,B7Z9J6,Q96AW9 Adenovirus E1A enhancer-binding protein, E1A-F, Polyomavirus enhancer activator 3 homolog E1AF, PEA3","nuclear chromatin, nucleolus, nucleoplasm, nucleus","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ETV4_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P43268/,,,,3,0,3,0,0,3,100,-1.1,67,,,,,,,,,,
,P41161,ETV5,"ETS translocation variant 5",,"ETV5_HUMAN, ETV5, ERM",Nucleus,"P41161 ETV5_HUMAN ETS translocation variant 5 P41161,A6NH46,B7Z7D7,Q6IBN5 Ets-related protein ERM ERM","nuclear chromatin, nucleoplasm, nucleus, plasma membrane, synapse","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ETV5_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P41161/,,,,2,0,2,0,0,1,50,-1.1,67,,,,,,,,,,
,P41212,ETV6,"Transcription factor ETV6",,"ETV6_HUMAN, ETV6, TEL, TEL1",Nucleus,"P41212 ETV6_HUMAN Transcription factor ETV6 P41212,A3QVP6,A8K076,Q9UMF6,Q9UMF7,Q9UMG0 ETS translocation variant 6, ETS-related protein Tel1 TEL, TEL1","cytosol, nuclear chromatin, nucleolus, nucleus","ETS family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=ETV6_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P41212/,,,,8,0,8,0,0,4,50,1.45,94,1,42,10,0,8,3,0,,,
,P01100,FOS,"Proto-oncogene c-Fos",,"FOS_HUMAN, FOS, G0S7","Nucleus, Endoplasmic reticulum, Cytoplasm, Cytosol","P01100 FOS_HUMAN Proto-oncogene c-Fos P01100,A8K4E2,B4DQ65,P18849 Cellular oncogene fos, G0/G1 switch regulatory protein 7 G0S7","cytosol, endoplasmic reticulum, membrane, neuron projection, nuclear chromatin, nucleoplasm, nucleus, protein-dna complex, transcription factor ap-1 complex","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FOS_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P01100/,,,,4,0,4,0,0,0,0,-0.45,74,1,84,3,3,25,3,3,,,
,P53539,FOSB,"Protein fosB",,"FOSB_HUMAN, FOSB, G0S3",Nucleus,"P53539 FOSB_HUMAN Protein fosB P53539,A8K9K5,A8VJE1,A8VJE6,A8VJF0,A8VJF3,A8VJF7,A8VJG1,A8VJG5,A8VJG9,E7EPR6,E9PHJ3,K7EMJ6,Q49AD7 G0/G1 switch regulatory protein 3 G0S3","intracellular membrane-bounded organelle, nuclear chromatin, nucleoplasm, nucleus","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FOSB_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P53539/,,,,9,0,9,0,0,1,12,-0.45,74,,,,,,,,,,
,P15407,FOSL1,"Fos-related antigen 1",,"FOSL1_HUMAN, FOSL1, FRA1",Nucleus,"P15407 FOSL1_HUMAN Fos-related antigen 1 P15407,B4DR11,Q6FG51  FRA1","cytosol, neuron projection, nuclear chromatin, nucleoplasm, nucleus, presynaptic membrane","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FOSL1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P15407/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P15408,FOSL2,"Fos-related antigen 2",,"FOSL2_HUMAN, FOSL2, FRA2",Nucleus,"P15408 FOSL2_HUMAN Fos-related antigen 2 P15408,B2RD58,B3KP27,B4DYV4,Q6FG46  FRA2","nuclear chromatin, nucleoplasm, nucleus","bZIP family",http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FOSL2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P15408/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q12948,FOXC1,"Forkhead box protein C1",,"FOXC1_HUMAN, FOXC1, FKHL7, FREAC3",Nucleus,"Q12948 FOXC1_HUMAN Forkhead box protein C1 Q12948,Q86UP7,Q9BYM1,Q9NUE5,Q9UDD0,Q9UP06 Forkhead-related protein FKHL7, Forkhead-related transcription factor 3 FKHL7, FREAC3","cytosol, nuclear chromatin, nuclear heterochromatin, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FOXC1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q12948/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q9P0K8,FOXJ2,"Forkhead box protein J2",,"FOXJ2_HUMAN, FOXJ2, FHX",Nucleus,"Q9P0K8 FOXJ2_HUMAN Forkhead box protein J2 Q9P0K8,A0AVK4,B2RMP3,Q96PS9,Q9NSN5 Fork head homologous X FHX","fibrillar center, nuclear chromatin, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FOXJ2_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9P0K8/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,Q9UPW0,FOXJ3,"Forkhead box protein J3",,"FOXJ3_HUMAN, FOXJ3, KIAA1041",Nucleus,"Q9UPW0 FOXJ3_HUMAN Forkhead box protein J3 Q9UPW0,A7MBL7,A7MD18,D3DPW2,Q9NSS7  KIAA1041","nuclear chromatin",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FOXJ3_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/Q9UPW0/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
,P85037,FOXK1,"Forkhead box protein K1",,"FOXK1_HUMAN, FOXK1, MNF","Nucleus, Cytoplasm","P85037 FOXK1_HUMAN Forkhead box protein K1 P85037 Myocyte nuclear factor MNF","cytoplasm, nuclear chromatin, nucleoplasm, nucleus",,http://zinc.docking.org/results/combination?filter.purchasability=purchasable&annotation.name=FOXK1_HUMAN,http://cansar.icr.ac.uk/cansar/molecular-targets/P85037/,,,,0,0,0,0,0,0,0,-3,59,,,,,,,,,,
